['h'],['t'],['tdg'],"['h', 't']","['h', 'tdg']","['t', 'h']","['t', 't']","['tdg', 'h']","['tdg', 'tdg']","['h', 't', 'h']","['h', 't', 't']","['h', 'tdg', 'h']","['h', 'tdg', 'tdg']","['t', 'h', 't']","['t', 'h', 'tdg']","['t', 't', 'h']","['t', 't', 't']","['tdg', 'h', 't']","['tdg', 'h', 'tdg']","['tdg', 'tdg', 'h']","['tdg', 'tdg', 'tdg']"
0,119.0,118.0,0,0,0,0,0,0,97.0,0,97.0,0,0,0,0,0,0,0,0,0
0,100.0,100.0,0,0,0,2.0,0,2.0,129.0,0,129.0,1,0,0,0,0,0,0,0,0
0,129.0,129.0,0,1,0,0,0,0,112.0,0,112.0,0,0,0,0,0,0,0,0,0
0,91.0,91.0,0,0,0,0,0,0,103.0,0,103.0,1,0,0,0,0,0,0,0,0
0,118.0,118.0,1,0,0,0,0,0,119.0,0,119.0,0,0,0,0,0,0,0,0,0
0,117.0,117.0,1,0,0,0,0,0,137.0,2.0,137.0,0,1.0,0,0,0,0,1.0,2.0,0
0,91.0,91.0,0,0,0,0,0,0,147.0,0,147.0,0,0,0,0,0,0,0,0,1
0,146.0,146.0,0,0,0,1.0,0,1.0,96.0,0,96.0,1.0,1,0,1.0,1.0,0,0,0,1.0
0,106.0,106.0,0,0,0,0,0,0,121.0,0,121.0,0,1,0,0,0,0,0,0,0
0,111.0,111.0,0,0,0,3.0,0,2.0,128.0,1.0,128.0,0,0,0,0,0,0,0,1.0,0
0,151.0,151.0,0,0,0,0,0,0,102.0,0,103.0,0,0,0,0,0,0,0,0,0
0,97.0,97.0,0,0,0,0,0,0,141.0,0,141.0,0,0,0,1,0,0,0,0,0
0,132.0,132.0,0,0,0,0,0,0,114.0,0,114.0,0,0,1,0,0,0,0,0,0
0,97.0,97.0,0,0,0,0,0,0,119.0,0,119.0,0,0,1,0,0,0,0,0,0
0,115.0,115.0,0,0,0,1,0,0,117.0,0,117.0,0,0,0,0,0,0,0,0,0
0,101.0,101.0,0,0,0,0,0,0,76.0,0,77.0,0,0,0,0,0,0,0,0,0
0,118.0,118.0,0,0,0,0,0,0,131.0,0,131.0,0,0,0,0,0,0,1,0,0
0,116.0,116.0,0,0,0,0,0,1,117.0,0,117.0,0,0,0,0,0,0,0,0,0
0,117.0,117.0,0,0,0,0,0,1,101.0,1.0,101.0,0,0,0,0,0,0,0,1.0,0
0,138.0,138.0,1,0,0,0,0,0,72.0,0,72.0,0,0,0,0,0,0,0,0,0
0,128.0,129.0,0,0,0,0,0,0,93.0,0,93.0,0,0,0,0,0,0,0,0,0
0,119.0,119.0,0,0,0,0,0,0,125.0,0,125.0,0,1.0,0,0,0,0,1.0,1,0
0,118.0,118.0,0,0,0,0,0,0,133.0,0,132.0,1.0,0,0,1.0,0,0,0,0,0
0,162.0,162.0,0,0,0,0,0,0,90.0,0,91.0,0,0,0,0,0,0,0,0,0
0,104.0,104.0,0,0,0,0,0,0,125.0,0,124.0,0,0,0,0,0,0,0,0,0
0,71.0,71.0,0,0,0,0,0,0,146.0,0,145.0,0,0,0,0,0,0,0,0,0
0,140.0,140.0,0,0,0,2.0,0,2.0,96.0,0,96.0,0,0,0,1,0,0,0,0,0
0,113.0,113.0,0,0,0,0,0,0,130.0,1,130.0,0,0,0,0,0,0,0,0,0
0,94.0,94.0,0,0,0,0,0,0,163.0,0,164.0,0,0,0,0,0,0,0,0,0
0,124.0,124.0,0,0,0,0,0,0,117.0,0,117.0,1,0,0,0,0,0,0,0,0
0,120.0,120.0,0,0,0,0,0,0,97.0,0,97.0,0,1,0,0,0,0,0,0,0
0,126.0,126.0,0,0,0,0,0,0,117.0,0,117.0,1,0,0,0,0,0,0,0,0
0,151.0,151.0,0,0,0,0,0,1,85.0,0,85.0,0,0,0,0,0,0,0,0,0
0,114.0,114.0,0,0,0,1.0,0,1.0,125.0,0,125.0,0,0,0,0,0,1,0,0,0
0,153.0,153.0,0,0,0,0,0,0,92.0,0,92.0,0,0,0,0,1,0,0,0,0
0,87.0,87.0,1.0,0,0,2.0,1.0,2.0,131.0,2.0,131.0,2.0,1.0,1,2.0,0,0,1.0,2.0,0
0,148.0,148.0,0,0,0,0,0,0,116.0,0,116.0,0,0,0,0,0,0,0,1,0
0,135.0,135.0,0,0,0,0,0,0,120.0,0,120.0,0,1.0,0,0,0,0,1.0,1,0
0,103.0,103.0,0,0,0,0,0,0,131.0,0,131.0,0,0,0,0,0,0,1,0,0
0,108.0,108.0,0,0,0,0,0,0,98.0,0,98.0,1,0,0,0,0,0,0,0,0
0,94.0,94.0,0,0,0,2.0,0,2.0,119.0,0,119.0,0,0,0,1,0,0,0,0,0
0,118.0,118.0,0,0,0,0,0,0,94.0,0,94.0,0,0,1,0,0,0,0,0,0
0,110.0,110.0,0,0,0,0,0,0,130.0,0,130.0,0,0,1,0,0,0,0,0,0
0,95.0,95.0,0,0,0,0,0,0,99.0,1,99.0,0,0,0,0,0,0,0,0,0
0,143.0,143.0,0,0,0,0,0,0,114.0,3.0,114.0,1.0,0,0,1.0,0,0,0,2.0,0
0,110.0,110.0,0,0,0,0,0,0,145.0,0,145.0,0,1.0,0,0,0,0,1.0,0,1
0,131.0,131.0,0,0,0,0,0,0,106.0,0,106.0,0,0,0,0,0,1,0,0,0
0,124.0,124.0,0,0,0,0,0,0,118.0,0,118.0,1,0,0,0,0,0,0,0,0
0,120.0,120.0,0,0,0,1.0,0,1.0,127.0,1.0,127.0,1,0,0,0,0,0,0,1.0,0
0,119.0,119.0,0,0,0,0,0,0,114.0,0,114.0,0,0,0,0,1,0,0,0,0
0,86.0,86.0,0,0,0,0,0,0,115.0,0,115.0,0,1,0,0,0,0,0,0,0
