depth,recur,mean fidelity,std fidelity,mean circ_depth,std circ_depth,mean huff1 cr,std huff1 cr,mean huff2 cr,std huff2 cr,mean huff3 cr,std huff3 cr
1,4,0.061680818966883925,0.060234656405018044,1750.47,78.02768162645869,0.8374532913172849,0.003917492461132999,0.8374532913172849,0.003917492461132999,0.8374532913172849,0.003917492461132999
2,4,0.08558470142928121,0.0761966651920349,1662.38,69.37316195763316,0.8349664127336831,0.0015948205781531625,0.8381880324576056,0.004113355573878877,0.8349664127336831,0.0015948205781531625
3,4,0.9825348119489118,0.012313235034187386,3742.22,110.65591534120533,0.906128453860491,0.006080197503361146,0.6591537744654962,0.00878444790995021,0.6590621705050975,0.008689076938430136
4,4,0.9706817185421127,0.021519007089228236,5174.56,177.1846675082243,0.8805311068313219,0.004450759727762058,0.6315645533076307,0.006965008186249481,0.6324636794195576,0.006832445697358497
5,4,0.9960775115233722,0.0021980590886116888,8106.245,215.17270964274257,0.9363037503749385,0.003371938054556541,0.5187025915272023,0.007789389410570819,0.5208055560014627,0.007810586940800693
6,4,0.9929007044157673,0.004223524463641728,8637.705,270.21868546604986,0.9540991585312512,0.0027144540958318614,0.5930429410405977,0.0061891715686122045,0.9396637036826941,0.004646898954488566
4,3,0.8955958551288559,0.05251578000758248,1093.195,53.8687940741205,0.877667124813752,0.006822565947452378,0.6291212056222658,0.013401610574452565,0.6344449540075332,0.013073139634622977
5,3,0.9747332820109811,0.013206459613758091,1681.65,63.305904148033456,0.9378110897109021,0.005235678800359855,0.5193040349658745,0.013447406190808153,0.5291180720754989,0.013831814347287186
6,3,0.9606937835788131,0.01986891037507143,1788.66,87.47316388470237,0.633044206109081,0.0030138278201131746,0.3577038225663152,0.007861299560535153,0.36445597220312576,0.008271956964101186
4,1,0.6149848158237373,0.11703213933326344,77.18,5.361678841556998,0.9199683353796609,0.016902621667194872,0.6552440659251454,0.04153003549591501,0.776052593162262,0.04133482665159755
4,2,0.7641737166143702,0.10053720836464348,257.18,20.014434790920276,0.8922191362574384,0.0099601708143447,0.6457632124032423,0.027303410720957995,0.6763688406565538,0.027262351150813175
4,5,0.9961408310093413,0.003305655937660921,23866.275,654.3162074830487,0.8787449006438953,0.00261109502261847,0.6322469373937659,0.003697736272127168,0.6324109563630281,0.003673856059513651
4,6,0.9998197051327612,0.00018859264459965112,117147.88,1946.2542525579747,0.8798964360192403,0.0015063760670640668,0.6344039056915036,0.00185686601893429,0.6344665707795969,0.0018632930059075692
5,1,0.7674790276836247,0.08760330739986666,85.155,5.626808598130915,0.6334028192598826,0.010751855481779826,0.397944072541599,0.023939488782265792,0.5066315920834326,0.024292775872913924
5,2,0.8743524743782973,0.04459248538851959,337.035,22.595658321898924,0.9440848921170989,0.009089565957107923,0.5562929484996881,0.025338868930959657,0.5982803912456571,0.02765672830641317
6,1,0.7839931999066571,0.070180374193383,96.965,7.282429196360237,0.6397326900396058,0.008419116665953519,0.36070324742475046,0.02399341617694085,0.4686134198530702,0.028048200929616903
6,2,0.8944051176638294,0.04565381480096896,383.32,26.42380744707318,0.6335428933729108,0.0054869147993906004,0.3592118431870738,0.013753288525784464,0.3894150571046269,0.014847016163045486
