size,number,sumbits binary,sumbits huff1,cr huff1,sumbits huff2,cr huff2,sumbits huff3,cr huff3,sumbits bz2+bin,sumbits bz2+huff1,cr bz2+huff1,sumbits bz2+huff2,cr bz2+huff2,sumbits bz2+huff3,cr bz2+huff3
2,01,47838,45740,0.9561436514904469,21243,0.4440612065721811,21320,0.4456708056356871,14816,14072,0.9497840172786177,14712,0.9929805615550756,14824,1.0005399568034556
2,02,45648,43616,0.9554854539081669,20074,0.43975639677532424,20154,0.44150893796004204,14136,14696,1.039615166949632,14424,1.0203735144312394,14496,1.0254668930390491
2,03,46821,45006,0.9612353431152688,20486,0.4375387112620405,20550,0.43890561927340294,14128,14720,1.0419026047565119,14136,1.0005662514156286,14168,1.0028312570781428
2,04,45879,43829,0.9553172475424486,20521,0.4472852503323961,20620,0.4494431003291266,14480,15000,1.0359116022099448,14688,1.014364640883978,15088,1.0419889502762432
2,05,42639,40738,0.955416402823706,19056,0.4469147963132344,19160,0.44935387790520415,13832,14384,1.0399074609600925,13792,0.9971081550028918,13856,1.001735106998265
2,06,47103,45215,0.9599176273273464,20418,0.4334755748041526,20489,0.4349829097934314,14344,14656,1.0217512548800893,14632,1.0200780814277748,14600,1.0178471834913552
2,07,43629,41678,0.955282037177107,19613,0.44954044328313736,19684,0.4511678012331248,13952,14400,1.0321100917431192,14160,1.014908256880734,14168,1.0154816513761469
2,08,46467,44431,0.9561839585081886,20764,0.4468547571394753,20843,0.4485548884154346,14400,14912,1.0355555555555556,14568,1.0116666666666667,14456,1.0038888888888888
2,09,46743,44574,0.9535973300815095,20790,0.44477247930171365,20902,0.44716855999828853,14824,14088,0.9503507825148408,15320,1.0334592552617377,15224,1.0269832703723691
2,10,45498,43527,0.9566794144797574,20299,0.44615147918589826,20371,0.44773396632819024,13968,13224,0.9467353951890034,14584,1.0441008018327607,14680,1.0509736540664376
2,11,46692,44832,0.9601644821382678,20528,0.439647048744967,20631,0.44185299408892315,14392,14800,1.028349082823791,14352,0.9972206781545303,14808,1.0289049471928848
2,12,44229,42386,0.9583305071333288,20126,0.4550408103280653,20220,0.4571661127314658,13768,14288,1.0377687391051713,14112,1.0249854735618826,14152,1.0278907611853574
2,13,45390,43381,0.9557391495924212,20196,0.4449438202247191,20282,0.44683851068517294,14552,15256,1.0483782297965916,14464,0.9939527212754261,14536,0.9989004947773502
2,14,45615,43509,0.953830976652417,20563,0.4507946947276115,20692,0.4536227118272498,14624,13936,0.9529540481400438,14912,1.0196936542669583,14896,1.0185995623632385
2,15,45678,43894,0.960943999299444,20169,0.4415473532116117,20273,0.4438241604273392,13944,13168,0.9443488238668961,14048,1.0074584050487665,14136,1.0137693631669535
2,16,45114,43274,0.9592144345436007,20174,0.4471782595203263,20298,0.44992685197499666,14216,14808,1.0416432189082723,14616,1.028137310073157,14656,1.0309510410804728
2,17,45984,44092,0.9588552540013918,20913,0.4547886221294363,21085,0.45852905358385526,14208,14664,1.0320945945945945,14400,1.0135135135135136,14336,1.009009009009009
2,18,45084,43140,0.9568804897524621,20374,0.4519119865140626,20467,0.45397480259071954,13792,14096,1.0220417633410672,14152,1.0261020881670533,14200,1.0295823665893271
2,19,45768,43875,0.9586392239119035,20488,0.44764901241041777,20568,0.44939695857367595,13928,13144,0.9437105112004595,14112,1.013210798391729,14304,1.0269959793222285
2,20,47556,45523,0.9572503995289764,20965,0.44084868365716207,21060,0.4428463285389856,14216,14824,1.0427687113111987,14192,0.9983117613956106,14376,1.0112549240292628
